customer_id,customer_name,email,city,state,country,registration_date,customer_segment
1,Customer_1,customer1@example.com,Los Angeles,NY,USA,2023-01-15,Corporate
2,Customer_2,customer2@example.com,Houston,TX,USA,2022-03-13,Home Office
3,Customer_3,customer3@example.com,Los Angeles,TX,USA,2022-02-14,Home Office
4,Customer_4,customer4@example.com,San Antonio,NY,USA,2022-01-16,Consumer
5,Customer_5,customer5@example.com,Houston,TX,USA,2022-09-16,Home Office
6,Customer_6,customer6@example.com,New York,TX,USA,2022-04-12,Home Office
7,Customer_7,customer7@example.com,Dallas,TX,USA,2022-04-23,Corporate
8,Customer_8,customer8@example.com,San Jose,AZ,USA,2023-02-19,Consumer
9,Customer_9,customer9@example.com,Chicago,TX,USA,2022-06-24,Corporate
10,Customer_10,customer10@example.com,Chicago,TX,USA,2023-05-06,Corporate
11,Customer_11,customer11@example.com,Los Angeles,CA,USA,2022-07-14,Consumer
12,Customer_12,customer12@example.com,Philadelphia,PA,USA,2022-11-06,Corporate
13,Customer_13,customer13@example.com,New York,CA,USA,2022-10-02,Consumer
14,Customer_14,customer14@example.com,San Antonio,CA,USA,2022-10-10,Corporate
15,Customer_15,customer15@example.com,San Jose,PA,USA,2022-10-23,Consumer
16,Customer_16,customer16@example.com,Los Angeles,NY,USA,2022-12-05,Consumer
17,Customer_17,customer17@example.com,Phoenix,CA,USA,2023-03-14,Consumer
18,Customer_18,customer18@example.com,Los Angeles,TX,USA,2022-05-23,Corporate
19,Customer_19,customer19@example.com,Philadelphia,IL,USA,2022-07-09,Corporate
20,Customer_20,customer20@example.com,Houston,AZ,USA,2022-12-26,Home Office
21,Customer_21,customer21@example.com,Los Angeles,CA,USA,2022-11-22,Consumer
22,Customer_22,customer22@example.com,Dallas,TX,USA,2022-03-25,Corporate
23,Customer_23,customer23@example.com,San Antonio,AZ,USA,2023-04-19,Home Office
24,Customer_24,customer24@example.com,Dallas,TX,USA,2022-12-17,Corporate
25,Customer_25,customer25@example.com,New York,TX,USA,2023-02-25,Consumer
26,Customer_26,customer26@example.com,Philadelphia,TX,USA,2022-05-18,Consumer
27,Customer_27,customer27@example.com,Houston,CA,USA,2023-03-25,Home Office
28,Customer_28,customer28@example.com,Philadelphia,TX,USA,2022-12-02,Corporate
29,Customer_29,customer29@example.com,San Antonio,CA,USA,2022-03-15,Corporate
30,Customer_30,customer30@example.com,Chicago,TX,USA,2023-01-17,Home Office
31,Customer_31,customer31@example.com,Dallas,AZ,USA,2023-01-18,Home Office
32,Customer_32,customer32@example.com,San Antonio,CA,USA,2022-07-24,Corporate
33,Customer_33,customer33@example.com,Houston,IL,USA,2022-09-18,Corporate
34,Customer_34,customer34@example.com,Los Angeles,NY,USA,2023-03-17,Consumer
35,Customer_35,customer35@example.com,Chicago,IL,USA,2023-02-10,Home Office
36,Customer_36,customer36@example.com,San Antonio,CA,USA,2022-02-02,Corporate
37,Customer_37,customer37@example.com,San Antonio,CA,USA,2022-08-28,Home Office
38,Customer_38,customer38@example.com,Phoenix,TX,USA,2023-03-17,Consumer
39,Customer_39,customer39@example.com,Los Angeles,TX,USA,2023-01-20,Corporate
40,Customer_40,customer40@example.com,Philadelphia,CA,USA,2022-05-31,Corporate
41,Customer_41,customer41@example.com,Chicago,CA,USA,2022-01-02,Home Office
42,Customer_42,customer42@example.com,Phoenix,TX,USA,2023-01-26,Consumer
43,Customer_43,customer43@example.com,Dallas,CA,USA,2023-03-22,Home Office
44,Customer_44,customer44@example.com,Phoenix,TX,USA,2022-11-08,Consumer
45,Customer_45,customer45@example.com,Chicago,PA,USA,2023-01-26,Consumer
46,Customer_46,customer46@example.com,Dallas,TX,USA,2023-04-16,Consumer
47,Customer_47,customer47@example.com,San Jose,PA,USA,2022-09-08,Consumer
48,Customer_48,customer48@example.com,Los Angeles,PA,USA,2023-03-26,Corporate
49,Customer_49,customer49@example.com,Houston,NY,USA,2022-05-04,Home Office
50,Customer_50,customer50@example.com,Los Angeles,CA,USA,2023-01-10,Corporate
51,Customer_51,customer51@example.com,Los Angeles,TX,USA,2023-01-28,Consumer
52,Customer_52,customer52@example.com,Chicago,CA,USA,2023-04-30,Home Office
53,Customer_53,customer53@example.com,Chicago,AZ,USA,2022-09-28,Home Office
54,Customer_54,customer54@example.com,San Antonio,TX,USA,2023-04-21,Home Office
55,Customer_55,customer55@example.com,Houston,AZ,USA,2022-07-24,Home Office
56,Customer_56,customer56@example.com,Philadelphia,CA,USA,2023-04-06,Home Office
57,Customer_57,customer57@example.com,San Diego,CA,USA,2022-05-07,Consumer
58,Customer_58,customer58@example.com,Los Angeles,PA,USA,2022-01-11,Home Office
59,Customer_59,customer59@example.com,Dallas,TX,USA,2022-10-29,Consumer
60,Customer_60,customer60@example.com,New York,CA,USA,2022-12-29,Home Office
61,Customer_61,customer61@example.com,New York,TX,USA,2022-02-04,Consumer
62,Customer_62,customer62@example.com,Philadelphia,CA,USA,2022-09-21,Consumer
63,Customer_63,customer63@example.com,Phoenix,CA,USA,2022-04-20,Home Office
64,Customer_64,customer64@example.com,Chicago,CA,USA,2022-10-23,Corporate
65,Customer_65,customer65@example.com,Houston,CA,USA,2023-02-18,Corporate
66,Customer_66,customer66@example.com,Houston,CA,USA,2022-02-19,Home Office
67,Customer_67,customer67@example.com,San Antonio,PA,USA,2022-08-05,Corporate
68,Customer_68,customer68@example.com,San Diego,NY,USA,2022-12-11,Home Office
69,Customer_69,customer69@example.com,Los Angeles,NY,USA,2022-07-26,Home Office
70,Customer_70,customer70@example.com,Philadelphia,CA,USA,2022-05-08,Consumer
71,Customer_71,customer71@example.com,Houston,TX,USA,2022-08-18,Consumer
72,Customer_72,customer72@example.com,San Antonio,IL,USA,2022-05-23,Corporate
73,Customer_73,customer73@example.com,Houston,CA,USA,2022-08-15,Home Office
74,Customer_74,customer74@example.com,Los Angeles,NY,USA,2022-11-30,Home Office
75,Customer_75,customer75@example.com,New York,CA,USA,2023-04-20,Consumer
76,Customer_76,customer76@example.com,Chicago,TX,USA,2022-09-06,Corporate
77,Customer_77,customer77@example.com,Houston,TX,USA,2023-04-08,Consumer
78,Customer_78,customer78@example.com,Chicago,TX,USA,2022-01-02,Corporate
79,Customer_79,customer79@example.com,Phoenix,CA,USA,2022-05-27,Corporate
80,Customer_80,customer80@example.com,Dallas,CA,USA,2022-03-21,Consumer
81,Customer_81,customer81@example.com,Phoenix,TX,USA,2023-05-11,Consumer
82,Customer_82,customer82@example.com,San Jose,TX,USA,2022-02-01,Home Office
83,Customer_83,customer83@example.com,Philadelphia,NY,USA,2022-01-26,Home Office
84,Customer_84,customer84@example.com,San Diego,TX,USA,2023-04-16,Home Office
85,Customer_85,customer85@example.com,Chicago,NY,USA,2023-05-07,Home Office
86,Customer_86,customer86@example.com,Los Angeles,IL,USA,2022-02-05,Home Office
87,Customer_87,customer87@example.com,Los Angeles,TX,USA,2022-07-26,Consumer
88,Customer_88,customer88@example.com,San Jose,TX,USA,2022-10-24,Home Office
89,Customer_89,customer89@example.com,New York,CA,USA,2022-02-11,Corporate
90,Customer_90,customer90@example.com,San Jose,CA,USA,2022-09-25,Corporate
91,Customer_91,customer91@example.com,Phoenix,TX,USA,2022-12-09,Home Office
92,Customer_92,customer92@example.com,Philadelphia,TX,USA,2022-05-16,Corporate
93,Customer_93,customer93@example.com,Chicago,AZ,USA,2022-08-23,Corporate
94,Customer_94,customer94@example.com,Los Angeles,NY,USA,2022-08-23,Home Office
95,Customer_95,customer95@example.com,San Jose,CA,USA,2022-02-07,Home Office
96,Customer_96,customer96@example.com,Houston,TX,USA,2022-05-16,Consumer
97,Customer_97,customer97@example.com,Philadelphia,CA,USA,2023-03-27,Consumer
98,Customer_98,customer98@example.com,Philadelphia,AZ,USA,2022-03-22,Corporate
99,Customer_99,customer99@example.com,Dallas,AZ,USA,2022-11-10,Home Office
100,Customer_100,customer100@example.com,Dallas,NY,USA,2022-12-08,Home Office
101,Customer_101,customer101@example.com,Phoenix,CA,USA,2023-04-26,Consumer
102,Customer_102,customer102@example.com,Phoenix,CA,USA,2023-04-01,Consumer
103,Customer_103,customer103@example.com,Dallas,IL,USA,2022-05-20,Corporate
104,Customer_104,customer104@example.com,San Jose,TX,USA,2023-01-03,Corporate
105,Customer_105,customer105@example.com,Houston,AZ,USA,2022-09-16,Corporate
106,Customer_106,customer106@example.com,Phoenix,NY,USA,2022-02-17,Home Office
107,Customer_107,customer107@example.com,San Antonio,AZ,USA,2022-01-23,Consumer
108,Customer_108,customer108@example.com,Philadelphia,IL,USA,2022-11-23,Corporate
109,Customer_109,customer109@example.com,Chicago,CA,USA,2022-10-10,Home Office
110,Customer_110,customer110@example.com,San Antonio,TX,USA,2022-01-05,Consumer
111,Customer_111,customer111@example.com,Los Angeles,IL,USA,2022-10-07,Consumer
112,Customer_112,customer112@example.com,Philadelphia,CA,USA,2022-10-10,Consumer
